slno,refno,text,en_dmt,ta_gmt
1,130-stories_110-130fp_16,हत्या ईश्वराय न रोचते,Killing is not pleasing to Īśvara.,கொல்வது ஈஸ்வரனுக்குப் பிடிக்காது.
2,130-stories_110-130fp_17,"सर्वेऽपि प्राणिनः सन्ति, परेशस्य प्रियाः सुताः । मिथस्तैर्विहितां हत्यां, कदापि क्षमते न सः ॥",All beings (prāṇinaḥ) are the beloved children of the Supreme Lord (Pareśa). He never forgives the killing inflicted by them on one another.,எல்லா உயிரினங்களும் (பிராணினஹ்) பரம இறைவனின் (பரேஷா) பிரியமான குழந்தைகள். அவர்கள் ஒருவரையொருவர் செய்த கொலைகளை அவர் மன்னிப்பதில்லை.
3,130-stories_110-130fp_18,चारयितृद्वारा चारणाय आनीताः अजाः अवयः च ग्रामात् बहिर्वनप्रदेशे एकस्य वृक्षस्य अधस्तात् उपविष्टाः आसन्।,"The goats and sheep, brought by the herdsman to be herded, sat outside the village in a forest region under a tree.",மேய்ப்பவர் மேய்ப்பதற்காக கொண்டு வந்த ஆடுகளும் செம்மறி ஆடுகளும் கிராமத்திற்கு வெளியே ஒரு மரத்தடியில் அமர்ந்தன.
4,130-stories_110-130fp_18,अद्य तासाम् इतस्ततः भ्रमित्वा चरणपानयोः उत्साहः न आसीत्।,"Today, they had no enthusiasm for wandering here and there and for drinking *caraṇa*.",இன்று அங்கும் இங்கும் அலைந்து திரிவதற்கும் *காரணம்* குடிப்பதற்கும் அவர்களுக்கு எந்த உற்சாகமும் இல்லை.
5,130-stories_110-130fp_18,तासु एका अभाषत-,One of them spoke:,அவர்களில் ஒருவர் பேசினார்:
6,130-stories_110-130fp_19,"मातरः भगिन्यः च! प्रतिवर्षवत् अस्मिन् वर्षे अपि गतदिने एव धर्मविशेषस्य अनुयायिभिः विशिष्टजातीयैः जनैः समस्ते अपि संसारे अस्माकं पुरुषसन्तानाः व्यापादिताः खादिताः च। राष्ट्राध्यक्षाः शासकाः नेतारः अपि अस्मिन् अवसरे यत्र तेषां वधिकानां कुशलम् इच्छन्तः स्वकीयं सन्देशं प्रसारयन्ति, तत्र तेषु इमां सामूहिकीं हत्यां कश्चित् अपि न निन्दति।","Mothers and sisters! As in every year, in this year also, on the past day itself, our male progeny were killed and eaten by people of specific castes, followers of a particular religion, in the entire world.  Even the presidents, rulers, and leaders, on this occasion, while wishing well to those murderers of theirs, spread their own message, but no one among them condemns this collective killing.","தாய்மார்களே சகோதரிகளே! ஒவ்வொரு ஆண்டும் போலவே, இந்த ஆண்டும், கடந்த நாளிலேயே, உலகம் முழுவதிலும் உள்ள குறிப்பிட்ட சாதியினரால், குறிப்பிட்ட மதத்தைப் பின்பற்றுபவர்களால், நம் ஆண் சந்ததியினர் கொல்லப்பட்டு உண்ணப்பட்டனர்.  ஜனாதிபதிகள், ஆட்சியாளர்கள் மற்றும் தலைவர்கள் கூட, இந்த சந்தர்ப்பத்தில், அந்த கொலையாளிகளுக்கு நல்வாழ்த்துக்கள் தெரிவிக்கும் போது,   தங்கள் சொந்த செய்தியை பரப்புகிறார்கள், ஆனால் அவர்களில் யாரும் இந்த கூட்டு கொலையை கண்டிக்கவில்லை."
7,130-stories_110-130fp_20,अस्य भाषणस्य समर्थनं कुर्वती अन्या अजा कथितवती-,"Another goat, supporting this speech, said:",இந்த உரையை ஆதரித்து மற்றொரு ஆடு கூறியது:
8,130-stories_110-130fp_21,सत्यम् एव अस्माकं मूकप्राणिनां कोऽपि सहायकः न अस्ति। आस्वादलम्पटाः इमे वधिकाः प्रतिदिनम् एव अस्माकं सन्ततीः मारयन्ति।,"Truly, there is no helper for us voiceless creatures. These butchers, greedy for taste, kill our offspring every day.","உண்மையாகவே, குரலற்ற உயிரினங்களான நமக்கு உதவி செய்பவர் இல்லை. ருசிக்கு பேராசை கொண்ட இந்த கசாப்புக் கடைக்காரர்கள் நம் சந்ததிகளை தினமும் கொன்று விடுகிறார்கள்."
9,130-stories_110-130fp_22,तृतीया अजा अभाषत-,The third unborn one spoke:,மூன்றாவது பிறக்காதவர் பேசினார்:
10,130-stories_110-130fp_23,अस्माकं सन्तानानां बलिदानं कृत्वा स्वयं बलिदानतायाः नाम प्रसारयन्ति। कथं न इमे आत्मीयान् पुत्रपौत्रादीन् परमेश्वराय बलिदानार्थं मारयन्ति? किं परमेश्वरः अस्माकं सन्तानानां बलिं गृहीत्वा प्रसन्नः भवति?,"They spread the name of self-sacrifice by sacrificing our descendants.  Why do they kill their own sons, grandsons, and others for sacrifice to God? Does God become pleased by taking the sacrifice of our descendants?","நம் சந்ததியினரைப் பலிகொடுத்து சுய தியாகத்தின் பெயரைப் பரப்புகிறார்கள்.  கடவுளுக்குப் பலியிடுவதற்காக அவர்கள் ஏன் தங்கள் சொந்த மகன்களையும், பேரன்களையும், மற்றவர்களையும் கொல்லுகிறார்கள்? நம் சந்ததியினரின் தியாகத்தை ஏற்று கடவுள் மகிழ்ச்சி அடைகிறாரா?"
11,130-stories_110-130fp_24,चतुर्थी अजा अकथयत्-,The fourth goat said:,நான்காவது ஆடு சொன்னது:
12,130-stories_110-130fp_25,स्वसमक्षे एव स्वसन्तानानां वधं द्रष्टुम् अपेक्षया तु अस्माभिः पूर्वम् एव मरणीयम् आसीत्।,"Rather than seeing the killing of our own descendants right before our eyes, we should have died earlier.","எங்கள் சொந்த சந்ததியினர் நம் கண்முன்னே கொல்லப்படுவதைப் பார்ப்பதை விட, நாங்கள் முன்பே இறந்திருக்க வேண்டும்."
13,130-stories_110-130fp_26,पञ्चमी अजा अभाषत-,The fifth goat spoke.,ஐந்தாவது ஆடு பேசியது.
14,130-stories_110-130fp_27,"अथवा वन्ध्याभिः एव अस्माभिः भवितव्यम् आसीत्‌- येन अद्य स्वसन्तानानां वधः तु द्रष्टुं न अमेलिष्यत्। किन्तु किं कुर्याम? कुत्र वा निवेदयाम? कश्चित् न्यायाधिपतिः अपि तु न दृश्यते, यः अस्माकं प्रार्थनां शृणुयात्, अपराधिनः च मृत्युदण्डेन दण्डयेत्","Or perhaps we sterile women should have remained [sterile], so that we would not have had to witness the killing of our own offspring today.  But what can we do? Where can we report [this]? No judge is to be seen who might listen to our plea and punish the offenders with the death penalty.","அல்லது ஒரு வேளை மலட்டுத்தன்மையுள்ள பெண்கள் [மலட்டுத்தன்மையற்றவர்களாக] இருந்திருக்க வேண்டும், அதனால் இன்று நம் சொந்த சந்ததியினர் கொல்லப்படுவதை நாம் காண வேண்டியதில்லை. ஆனால் நாம் என்ன செய்ய முடியும்? [இதை] நாம் எங்கே புகாரளிக்க முடியும்? எங்கள் கோரிக்கையை யார் கேட்டு குற்றவாளிகளை தண்டிக்க முடியும் என்பதை எந்த நீதிபதியும் காண முடியாது."
15,130-stories_110-130fp_27,इति।,Thus.,இவ்வாறு.
16,130-stories_110-130fp_30,अजाः अवयः च कुत्र उपविष्टाः आसन् ?,Where were the goats and sheep sitting?,ஆடுகளும் செம்மறி ஆடுகளும் எங்கே அமர்ந்திருந்தன?
17,130-stories_110-130fp_31,तासु एका किम् अभाषत ?,What did one of them say?,அவர்களில் ஒருவர் என்ன சொன்னார்?
18,130-stories_110-130fp_32,तृतीया अजा किं भाषितवती ?,What did the third goat say?,மூன்றாவது ஆடு என்ன சொன்னது?
19,130-stories_110-130fp_33,पञ्चम्याः अजायाः भाषणं किम् आसीत् ?,What was the speech of the fifth goat?,ஐந்தாவது ஆட்டின் பேச்சு என்ன?
20,130-stories_110-130fp_34,ईश्वरः किं न क्षमते ?,What does the Lord not tolerate?,கர்த்தர் எதை பொறுத்துக்கொள்ள மாட்டார்?
21,130-stories_15-130fp_16,त्यागे सौख्यम्,Happiness lies in renunciation.,துறப்பதில் மகிழ்ச்சி இருக்கிறது.
22,130-stories_15-130fp_17,"सांसारिकपदार्था हि, नैव सन्ततसौख्यदाः। तत्त्यागे यादृशं सौख्यं, तदासक्तौ न तादृशम्॥","Worldly things, indeed, do not give continuous happiness. The happiness that comes from abandoning them is not like that which comes from attachment to them.","உலக விஷயங்கள், உண்மையில், தொடர்ச்சியான மகிழ்ச்சியைத் தருவதில்லை. அவர்களைக் கைவிடுவதால் ஏற்படும் மகிழ்ச்சி, அவர்கள் மீதுள்ள பற்றுதலால் வரும் மகிழ்ச்சியைப் போன்றது அல்ல."
23,130-stories_15-130fp_18,महात्मा गोरक्षनाथः स्वतपस्याफलं दातुं योग्यपात्रम् अन्विष्यन् काशीं प्राप्तः।,"The great soul Gorakṣanātha, seeking a worthy recipient to bestow the fruit of his own asceticism, arrived in Kāśī.","மகா ஆன்மாவான கோரக்ஷநாதர், தனது துறவின் பலனைத் தரத் தகுதியான பெறுநரைத் தேடி, காசிக்கு வந்தார்."
24,130-stories_15-130fp_18,तत्र गङ्गातटे भ्रमन् एकं संन्यासिनम् अद्राक्षीत्।,"There, wandering on the banks of the Ganges, he saw a *saṃnyāsin* (renunciate).","அங்கு, கங்கைக் கரையில் அலைந்து திரிந்த அவர், ஒரு *சன்யாசின்* (துறந்து) பார்த்தார்."
25,130-stories_15-130fp_18,सः स्वकीयं संन्यासदण्डं गङ्गायां प्रवाहयन् आसीत्।,He was floating his own mendicant's staff in the Ganges.,அவர் கங்கையில் தனது சொந்த கைத்தடியை மிதந்து கொண்டிருந்தார்.
26,130-stories_15-130fp_18,"गोरक्षानाथः तम् एव दानपात्रं निश्चित्य तम् अब्रवीत्- ""महात्मन्! अहम् आत्मीयं तपःफलं भवते समर्पयितुम् इच्छामि। एतत् स्वीकृत्य अनुगृह्णातु मां भवान्।""","Gorakṣanātha, having ascertained that he was a worthy recipient of gifts, said to him: ""Oh, great one! I wish to offer you the fruit of my asceticism (tapaḥphala). Please accept this and favor me.""","கோரக்ஷநாதர், அவர் பரிசுகளைப் பெறத் தகுதியானவர் என்பதை உறுதிசெய்து, அவரிடம் கூறினார்: ""ஓ, பெரியவரே! எனது துறவின் பலனை (தபஃபலா) உங்களுக்கு வழங்க விரும்புகிறேன். தயவுசெய்து இதை ஏற்றுக்கொண்டு எனக்கு அனுதாபம் செய்யுங்கள்."""
27,130-stories_15-130fp_18,संन्यासी सहर्षं तद्गृहीत्वा तत्क्षणम् एव तदपि गङ्गाजले प्रवाहितं कृतवान्।,"The renunciate, delighted, took it and immediately cast it into the waters of the Ganges.","துறந்தவர், மகிழ்ச்சியடைந்து, அதை எடுத்து உடனடியாக கங்கை நீரில் போட்டார்."
28,130-stories_15-130fp_18,"तस्य इमां निःस्पृहां संन्यासितां दृष्ट्वा गोरक्षनाथः अतीव आनन्दितः अभूत् अवोचत् च- ""अहो! धन्यः अस्ति भवान्, धन्या च भवदीया इयं त्यागशीलता। सत्यम् एव मत्तः सिद्धिफलं स्वीकृत्य भवान् तस्य दुष्परिणामतः मां संरक्षितवान् अस्ति""","Having seen his desirelessness and renunciation, Gorakṣanātha was extremely delighted and said: ""Oh! Blessed are you, and blessed is your spirit of renunciation. Truly, having accepted the fruit of accomplishment (siddhifalam) from me, you have protected me from its bad consequences.""","அவரது விருப்பமின்மை மற்றும் துறவைக் கண்டு, கோரக்ஷநாதர் மிகவும் மகிழ்ச்சியடைந்தார்: ""ஓ! நீங்கள் ஆசீர்வதிக்கப்பட்டவர், உங்கள் துறவு ஆவியும் ஆசீர்வதிக்கப்பட்டது. உண்மையாகவே, என்னிடமிருந்து சாதனையின் பலனை (சித்திபலம்) ஏற்றுக்கொண்டதால், அதன் மோசமான விளைவுகளிலிருந்து என்னைக் காத்தீர்கள்."""
29,130-stories_15-130fp_18,इति।,Thus.,இவ்வாறு.
30,130-stories_15-130fp_21,गोरक्षनाथः किं कर्तुम् इच्छति स्म?,What did Gorakṣanātha want to do (gorakṣanāthaḥ kiṃ kartum icchati sma)?,கோரக்ஷனாதா என்ன செய்ய விரும்பினார்
31,130-stories_15-130fp_22,गोरक्षनाथाय दानपात्रं कः मिलितः? सः किं कुर्वन् आसीत्?,Who met Gorakṣanātha with the begging bowl? What was he doing?,பிச்சை பாத்திரத்துடன் கோரக்ஷநாதனை சந்தித்தது யார்? அவர் என்ன செய்து கொண்டிருந்தார்?
32,130-stories_15-130fp_23,संन्यासी गोरक्षनाथतः गृहीतस्य तपस्याफलस्य किं कृतवान्?,What did the renunciant Gorakṣanātha do with the fruit of the asceticism he had undertaken?,துறந்த கோரக்ஷநாதர் தான் மேற்கொண்ட தவத்தின் பலனை என்ன செய்தார்?
33,130-stories_15-130fp_24,अस्य गोरक्षनाथे कः प्रभावः अभवत्?,What power did he have over Gorakṣanātha?,கோரக்ஷநாதரின் மீது அவருக்கு என்ன அதிகாரம் இருந்தது?
34,130-stories_15-130fp_25,सौख्यं त्यागे अस्ति अथवा आसक्तौ? कथयत।,Is happiness in renunciation (*tyāga*) or in attachment (*āsakti*)? Tell me.,மகிழ்ச்சி என்பது துறப்பதில் உள்ளதா (*த்யாக*) அல்லது பற்றுதலில் (*ஆசக்தி*)? சொல்லுங்க.
35,130-stories_104-130fp_16,कालात् पूर्वं फलेत् नहि,A result cannot ripen before its time.,ஒரு முடிவு அதன் காலத்திற்கு முன்பே பழுக்க முடியாது.
36,130-stories_104-130fp_17,"समयागमनात् पूर्वं, नैव किञ्चित् प्रजायते। उप्त्वा बीजं फलं तस्य, तत्कालं नैव लभ्यते॥","Before the arrival of the *samaya* [initiation], nothing whatsoever arises. Having sown a seed, its fruit is not obtained immediately.","*சமய* [தீட்சை] வருவதற்கு முன், எதுவும் எழுவதில்லை. ஒரு விதையை விதைத்தவுடன் அதன் பலன் உடனடியாக கிடைக்காது."
37,130-stories_104-130fp_18,एकः राजा आसीत्।,There was a king.,ஒரு அரசன் இருந்தான்.
38,130-stories_104-130fp_18,"सः यस्मिन् तुष्यति स्म, तस्य दरिद्रता सदार्थं विनश्यति स्म।",The poverty of whomever he was pleased with was always destroyed.,யாரை மகிழ்விக்கிறானோ அவனுடைய வறுமை எப்போதும் அழிந்தது.
39,130-stories_104-130fp_18,अनेके जनाः ततः लाभान्विताः अभवन्।,Many people then became endowed with gain.,பின்னர் பலர் ஆதாயம் பெற்றனர்.
40,130-stories_104-130fp_18,तस्य आवासात् किञ्चित् दूरे एव एकः निर्धनः युवा वृक्षस्य अधस्तात् निवसति स्म।,"Not far from his dwelling, a poor young man lived under a tree.",அவர் வசிக்கும் இடத்திற்கு சற்று தொலைவில் ஒரு ஏழை இளைஞன் ஒரு மரத்தடியில் வசித்து வந்தான்.
41,130-stories_104-130fp_18,सः न कमपि याचते स्म।,He never begged from anyone.,அவர் யாரிடமும் பிச்சை எடுத்ததில்லை.
42,130-stories_104-130fp_18,"किन्तु यत् किञ्चित् पथिकेभ्यः मिलति स्म, तेन एव सः सन्तुष्टः आसीत्।",But he was content with whatever little he obtained from travelers.,"ஆனால், பயணிகளிடம் இருந்து கொஞ்சம் கொஞ்சமாகப் பெற்றாலும் திருப்தியடைந்தார்."
43,130-stories_104-130fp_19,एकदा राजा सभायां तम् आहूतवान् किञ्चित् सुभाषितं च श्रावयितुं तं कथितवान्।,"Once, the king summoned him to the assembly and asked him to recite some wise sayings (subhāṣita).","ஒருமுறை, அரசர் அவரைச் சபைக்கு வரவழைத்து, சில புத்திசாலித்தனமான சொற்களை (சுபாஷிதா) சொல்லச் சொன்னார்."
44,130-stories_104-130fp_19,तदा सः गीतवान् -,Then he sang.,பிறகு பாடினார்.
45,130-stories_104-130fp_20,"पूर्वतः पूर्णमेवाब्धिं, भरन्ति सरितः सदा।श्रीरपि स्वां विना भाग्यं, कञ्चिद् दर्शयते नहि॥","The rivers always fill the ocean, which is already full from the beginning. Even prosperity (śrī) does not show itself to anyone without good fortune (bhāgyam).",ஆரம்பத்தில் இருந்தே நிரம்பியிருக்கும் சமுத்திரத்தை நதிகள் எப்போதும் நிரப்புகின்றன. செழிப்பு (ஸ்ரீ) கூட நல்ல அதிர்ஷ்டம் (பாக்யம்) இல்லாமல் யாருக்கும் காட்டாது.
46,130-stories_104-130fp_22,अनेन सन्तुष्टः राजा तस्मै रत्नभरितम् एकं बृहत् दाडिमफलं प्रदत्तवान्।,"Pleased by this, the king gave him a large pomegranate filled with jewels.","இதைக் கண்டு மகிழ்ந்த அரசன், நகைகள் நிரம்பிய பெரிய மாதுளம்பழத்தைக் கொடுத்தான்."
47,130-stories_104-130fp_23,सः युवकः तु बहिरागच्छन् कस्मैचित् धनिकाय तत्फलं विक्रीतवान्।,"That youth, going outside, sold that fruit to some wealthy man.","அந்த இளைஞன், வெளியில் சென்று, அந்தப் பழத்தை ஒரு செல்வந்தரிடம் விற்றான்."
48,130-stories_104-130fp_23,तस्य उत्तमतां विचार्य राजानं प्रसादयितुं धनिकः राज्ञे तत्फलं समर्पितवान्।,"Having considered its excellence, the wealthy man, in order to please the king, offered that fruit to the king.","அதன் சிறப்பைக் கருதிய செல்வந்தர், அரசனை மகிழ்விக்கும் பொருட்டு, அந்தப் பழத்தை அரசனுக்குக் கொடுத்தார்."
49,130-stories_104-130fp_23,राजा तद् गृहीत्वा द्वितीयस्मिन् दिने अपि पूर्ववत् सभायां तम् एव युवकं समाहूय ततः च ताम् एव गीतिम् आकर्ण्य तस्मै तत् फलं समुपाहरत्।,"The king, having taken that, on the second day also, just as before, summoned that very youth to the assembly, and after listening to that very song, he offered that fruit to him.","அதை எடுத்துக் கொண்ட மன்னன், இரண்டாம் நாளிலும், முன்பு போலவே, அந்த இளைஞனை சபைக்கு வரவழைத்து, அந்தப் பாடலைக் கேட்டபின், அந்தப் பழத்தை அவனுக்குப் பரிமாறினான்."
50,130-stories_104-130fp_23,युवकः तत् फलं पूर्ववत् एव एकस्याः वेश्यायाः हस्ते विक्रीतवान्।,The young man sold that fruit just as before into the hand of a prostitute.,அந்த இளைஞன் முன்பு போலவே அந்தப் பழத்தை ஒரு விபச்சாரியின் கையில் விற்றான்.
51,130-stories_104-130fp_23,सा वेश्या अपि राजप्रसादं प्राप्तुं तत् फलं राज्ञे समर्पितवती।,"That courtesan, in order to gain the king's favor, also offered that fruit to the king.","அந்த வேசி, மன்னனின் தயவைப் பெறுவதற்காக, அந்தப் பழத்தையும் அரசனுக்குக் கொடுத்தாள்."
