प्रतिस्पर्धायां किं करणीयम् आसीत्?	போட்டியில் என்ன செய்ய வேண்டும்?
प्रतिस्पर्धायां विष्णुः कान् विजितान् अघोषयत्?	போட்டியில், விஷ்ணு யாரை வெற்றி பெற்றதாக அறிவித்தார்?
सङ्‌कटे के न मुह्यन्ति?	துன்பத்தில் குழப்பமடையாதவர் யார்?
मत्या किं साधितं भवति?	ஞானத்தால் சாதிக்கப்படுவது என்ன?
चतुराणां संसारः	நான்கின் இருப்பு சுழற்சி.
चतुराणां जगत्यत्र, चतुराः स्वल्पतमा नहि। ज्यायांसश्च तथा ज्येष्ठा लभ्याः स्युस्तत्र भूरिशः॥	இவ்வுலகில், நான்கில் [கலை/அறிவியல்] தேர்ச்சி பெற்றவர்கள் கொஞ்சமும் இல்லை, இல்லை. மேலும் உயர்ந்தவர்களும் பெரியவர்களும் அங்கே ஏராளமாகக் கிடைக்கிறார்கள்.
मम आवासपरिसरे एकमिष्टान्नव्यवसायी प्रायः 20-25 वर्षेभ्यः आवासिनाम् आवश्यकताः पूरयति।	எனது குடியிருப்புக்கு அருகாமையில், ஒரு மிட்டாய் வியாபாரி சுமார் 20-25 ஆண்டுகளாக குடியிருப்பாளர்களின் தேவைகளை நிறைவேற்றி வருகிறார்.
एकसप्ताहपूर्वम् एव अन्यः एकः तादृशः एव मिष्टान्नव्यवसायी तत्र आगत्य स्वकीयं व्यवसायं प्रारभत।	ஒரு வாரத்திற்கு முன்பு, மற்றொரு மிட்டாய் வியாபாரி அங்கு வந்து தனது சொந்த தொழிலைத் தொடங்கினார்.
"तस्य व्यवसायं निष्फलं कर्तुम् उद्देश्येन प्रथमव्यवसायी स्वविपण्यां पट्टिकाम् आयोजयत् यस्यां लिखितम् आसीत्"" 25 वर्षपुरातनी विपणिः"""	"தனது வியாபாரத்தை தோல்வியடையச் செய்யும் நோக்கத்துடன், முதல் தொழிலதிபர் தனது கடையில் ""25 வருட பழமையான கடை"" என்று ஒரு பலகையை வைத்தார்."
।	[திபெத்தியர் காணவில்லை. கீழே உள்ள குறிப்பைப் பார்க்கவும்.]
"तद्दृष्ट्वा नवागन्तुकः व्यवसायी स्वपट्टिकां स्वविपण्याम् अयोजयत् अस्यां स्थूलस्थूलाक्षरेषु दूरतः एव पठनीयम् आसीत् ""अत्र समयातीतानि रोगकारीणि मिष्टान्नानि नैव विक्रीयन्ते"""	"அதைப் பார்த்த புதிதாய் வந்த வியாபாரி தன் கடையில் அடையாளத்தை வைத்தார். இதில், தூரத்தில் இருந்து படிக்கக்கூடிய பெரிய, தடித்த எழுத்துக்களில், ""இங்கு, பழுதடைந்த மற்றும் நோயை உண்டாக்கும் இனிப்புகள் விற்கப்படுவதில்லை"" என எழுதப்பட்டிருந்தது."
