शङ्खलिखितौ द्वौ सहोदरौ महातपस्विनौ अभवताम्।	ஷாங்கலிகிதாவும் [அவரது] இரட்டை சகோதரரும் பெரும் துறவிகள் ஆனார்கள்.
तयोः आश्रमौ पृथक् पृथक् आस्ताम्।	அவர்களின் ஆசிரமங்கள் தனித்தனியாக இருந்தன.
एकदा  लिखितः शङ्खं द्रष्टुम् आगतः।	ஒருமுறை, எழுதப்பட்ட சங்குவைப் பார்க்க வந்தார்.
किन्तु सः बहिर्गतः आसीत्।	ஆனால் அவர் வெளியில் சென்றிருந்தார். (கிந்து சஹ் பஹிர்கதா ஆசித்)
तं प्रतीक्षमाणः लिखितः तत्र एव स्थितः।	அவருக்காகக் காத்திருந்து, அவர் [அதை] எழுதி அங்கேயே இருந்தார்.
आश्रमे एकस्मिन् वृक्षे पक्वं फलं त्रोटयित्वा सः भक्षितुं प्रवृत्तः।	ஒரு துறவியில், அவர், ஒரு மரத்திலிருந்து பழுத்த பழத்தை உடைத்து, அதை சாப்பிட ஆரம்பித்தார்.
अस्मिन् एव अन्तराले शङ्खः आगतः।	அந்த நேரத்தில், ஷாங்கன் வந்தார்.
"सः तथा फलं भक्षन्तं लिखितं पृष्टवान्- ""कुतः इदं गृहीतम्?"""	"அவர் பழத்தை உண்பதைக் கண்ட அவர், எழுத்தாளரிடம் கேட்டார்: ""இது எங்கிருந்து எடுக்கப்பட்டது?"""
"लिखितः अकथयत्- ""इदं तु तस्माद् वृक्षात् त्रोटितम्।"""	"அதை எழுதியவர் கூறினார்: ""ஆனால் இது அந்த மரத்திலிருந்து முறிந்தது."""
"शङ्खः आदिशत्- ""भ्रातः! त्वया चौर्यं कृतम्। अतः राजानम् उपगत्य ततः दण्डं प्राप्तं कुरु।"""	"ஷாங்கன் கட்டளையிட்டார்: ""அண்ணா! நீங்கள் திருட்டுவிட்டீர்கள். எனவே, மன்னரை அணுகி, அவரிடமிருந்து தண்டனையைப் பெறுங்கள்."""
अथ लिखितः भ्रातुः आज्ञया राजानं सर्वां घटनां श्रावयित्वा दण्डयितुं प्रार्थितवान्।	பின்னர், தனது சகோதரரின் உத்தரவின் பேரில், ஒரு கடிதம் எழுதி, அவர் முழு சம்பவத்தையும் ராஜாவிடம் கேட்கச் செய்தார், மேலும் [குற்றவாளியை] தண்டிக்குமாறு கேட்டுக் கொண்டார்.
"राजा तु ""यदि मे दण्डदानस्य अधिकारः तर्हि क्षमादानस्य अपि अधिकारः। अतः पूजनीयं तपस्विनं भवन्तम् अहं क्षमे"""	"ஆனால் ராஜா [சொன்னார்]: ""தண்டனை செய்ய எனக்கு உரிமை இருந்தால் (தாண்டானஸ்ய அதிகாரம்), மன்னிக்க எனக்கும் உரிமை உண்டு (க்ஷமாதானஸ்ய அபி அதிகாரம்). எனவே, மதிப்பிற்குரிய சந்நியாசி (பூஜனியம் தபஸ்விநாதம்ஹா) உன்னை மன்னிக்கிறேன்."""
इति अब्रवीत्।	இவ்வாறு அவர் பேசினார்.
इदं युक्तं न, अपराधी अहं दण्डनीयः एव। दण्डम् अप्राप्य न अहम् इतः गमिष्यामि	இது முறையல்ல; நான் குற்றவாளி, தண்டிக்கப்பட வேண்டும். தண்டனை கிடைக்காமல் இங்கிருந்து போக மாட்டேன்.
एवं लिखितेन कृते आग्रहे राजा तस्य चौर्यकर्तारौ द्वौ अपि हस्तौ अच्छेदयत्।	இவ்வாறு, அதை எழுதி முடித்ததும், வற்புறுத்தலின் பேரில், ராஜா இரண்டு திருடர்களின் இரு கைகளையும் வெட்டினார்.
कृतहस्तः लिखितः शङ्खम् उपगतः।	அவர் கைதேர்ந்தவர், எழுதியவர், சங்கு அணுகியவர்.
शङ्खः तं यथाविधि नद्यां देवान् पितॄन् च स्नात्वा तर्पयितुम् आज्ञाप्तवान्।	ஷாங்கன், விதிப்படி நதியில் நீராடவும், தேவர்கள் *தேவர்கள்* மற்றும் முன்னோர்கள் *பித்ருக்கள்* ஆகியோரை சாந்தப்படுத்தவும் கட்டளையிட்டார்.
आश्चर्यम्, महद् आश्चर्यं, तर्पणं कुर्वतः एव तस्य हस्तौ पूर्ववत् एव प्रकटौ अभवताम्।	வியக்க வைக்கிறது! ஒரு பெரிய ஆச்சரியம்! அவர் பிரசாதம் வழங்கும்போது,   அவரது கைகள் முன்பு போலவே தோன்றின.
प्रत्यागत्य सः शङ्खं प्रसन्नः सन् अदर्शयत्।	திரும்பி, மகிழ்ச்சியடைந்த அவர், சங்கு காட்டினார்.
"शङ्खः कथितवान्- ""सौम्य! विस्मयं मा कुरु। मया एव तपोबलेन इमौ ते हस्तौ उत्पादितौ।"""	"ஷாங்கா கூறினார்: ""சாந்தமானவனே! ஆச்சரியப்படாதே. என்னால், துறவறத்தின் சக்தியால், உன்னுடைய இந்த இரண்டு கைகளும் உற்பத்தி செய்யப்பட்டன."""
"लिखितः अवदत्- ""यदि एवं तर्हि प्राग् एव चौर्यपापतः मां कथं न अमोचयत् भवान्?"""	"எழுதப்பட்ட, அவர் கூறினார்: ""அப்படியானால், நீங்கள் ஏன் முன்பு திருட்டு பாவத்திலிருந்து என்னை விடுவிக்கவில்லை?"""
सत्यं, किन्तु दण्डदानस्य अधिकारः राज्ञे एव धर्मशास्त्रेण कथितः, न मह्यम्। अतः अनेन राजा अपि स्वकर्तव्यं पालयित्वा शुद्धः, त्वम् अपि देवपितृतर्पणेन शुद्धः, अहं च अपि निजकर्मानुष्ठानेन शुद्धः।  भविष्ये कदापि धर्मविरुद्धं न आचर, अयम् एव ते मम प्राणप्रियाय सहोदराय उपदेशः	உண்மைதான், தண்டிக்கும் உரிமை அரசருக்கே, எனக்கல்ல, தர்மசாஸ்திரத்தால் அறிவிக்கப்பட்டுள்ளது. எனவே, தன் கடமையை நிறைவேற்றி, அரசனும் தூய்மையானவன், தெய்வங்களுக்கும், முன்னோர்களுக்கும் காணிக்கை செலுத்தி நீயும் தூய்மையானவன். வாழ்க்கை.
इति शङ्खः लिखितं समाश्‌लिष्य अवोचत् इति।	இவ்வாறு, எழுதப்பட்ட ஆவணத்தை தழுவிய ஷாங்கா பேசினார்.
लिखितः शङ्खस्य आश्रमे किं कर्तुं प्रवृत्तः?	எழுதப்பட்ட பிறகு, சங்கன் துறவறத்தில் என்ன செய்ய முனைந்தார்?
तत्र आगतः शङ्खः लिखितं किं कर्तुम् आदिशति?	அங்கு, ஷாங்கா, வந்தவுடன், என்ன எழுத வேண்டும் என்று கட்டளையிடுகிறார்?
राजा लिखितं किं कृत्वा अदण्डयत्?	எழுதப்பட்ட ஆவணத்தில் என்ன செய்த ராஜா தண்டிக்கவில்லையா?
लिखितस्य कृतहस्तौ किं करणेन पुनः उत्पन्नौ?	கைகள் ஏற்கனவே எழுதுவதில் திறமை வாய்ந்தவையாக இருப்பதால், அவற்றைப் பயிற்றுவிப்பதில் மேலும் என்ன பயன்?
इयं कथा किं शिक्षयति?	இந்தக் கதை என்ன கற்பிக்கிறது?
धीरस्वभावः	இயற்கையில் நிலையானது.
विपत्तावपि धीरः स्वं, धैर्यं नैव विमुञ्चति। चातुर्येण स कार्यं स्वं, संसाधयति बुद्धिमान्॥	துரதிர்ஷ்டத்திலும், ஒரு உறுதியான நபர் தனது தைரியத்தை கைவிடுவதில்லை. ஒரு புத்திசாலி நபர் திறமையுடன் தனது பணியை புத்திசாலித்தனமாக நிறைவேற்றுகிறார்.
एकः रत्नव्यवसायी व्यवसाये उपार्जितं प्रचुरं धनराशिं गृहीत्वा ग्राममार्गतः गच्छन् आसीत्।	ஒரு குறிப்பிட்ட ரத்தின வியாபாரி, வியாபாரத்தில் சம்பாதித்த பெரும் செல்வத்தை எடுத்துக் கொண்டு, ஒரு கிராமப் பாதையில் சென்று கொண்டிருந்தார்.
अधिकरात्रिवशात् सः तत्र एव ग्रामीणं कृषकं शरणं याचित्वा तस्य गृहे स्थितः।	இரவு வெகுநேரமாகியதால், அப்பகுதி விவசாயி ஒருவரிடம் அடைக்கலம் கேட்டு அவரது வீட்டில் தங்கினார்.
रात्रेः तृतीये प्रहरे ग्रामे दस्युदलस्य आगमनाद् भीतः कृषकः स्वकीयं धनं भूमिं खनित्वा तत्र गोपितवान्।	இரவின் மூன்றாவது ஜாமத்தில், கிராமத்தில் கொள்ளைக் கும்பல் வருவதைக் கண்டு பயந்துபோன ஒரு விவசாயி, நிலத்தில் தோண்டி, தன் செல்வத்தை அங்கேயே மறைத்து வைத்தார்.
व्यवसायी इदं दृष्टवान्।	இதை வியாபாரி பார்த்தார்.
किञ्चित्समयानन्तरं दस्युराजः उपस्थाय स्वकीयं सर्वस्वं दातुं तान् सर्वान् अकथयत्।	சிறிது நேரம் கழித்து, கொள்ளைக்காரன் தலைவன் அணுகி, அவர்கள் அனைவருக்கும் தங்கள் முழு செல்வத்தையும் (சர்வஸ்வம் தாது) கொடுக்கச் சொன்னார்.
कृषकः तूष्णीं  स्थितः आसीत्।	விவசாயி அமைதியாக நின்று கொண்டிருந்தான்.
व्यवसायी तत् स्थानं दर्शितवान्, यतः कृषकस्य धनम् आदाय दस्युराजः निर्गतः।	கொள்ளை மன்னன் பண்ணையார் செல்வத்தை எடுத்துக்கொண்டு சென்ற இடத்தை வணிகர் காட்டினார்.
