पुत्रः किम् इच्छति स्म?	மகனுக்கு என்ன வேண்டும்?
पुत्रः कदा सन्तुष्टः अभवत्?	மகன் எப்போது திருப்தி அடைந்தான்?
अनया कथया का शिक्षा मिलति?	இந்தக் கதையிலிருந்து என்ன பாடம் கற்றுக்கொள்கிறது?
भक्तोत्तमः कः?	சிறந்த பக்தன் யார்?
निद्रितोऽपि प्रतिश्वासं, भगवन्नाम यो जपेत्। किं स भक्तोत्तमो नास्ति? तदिष्टं किं न सिध्यति?॥	உறங்கும்போது கூட, அதிர்ஷ்டசாலியின் (பகவத்) பெயரை முணுமுணுப்பவன், பக்தர்களில் சிறந்தவன் அல்லவா? அவன் ஆசைகள் நிறைவேறாதா?
देवर्षिनारदस्य भगवन्तं प्रति स्वकीयभक्तौ महान् गर्वः आसीत्।	தெய்வீக முனிவர் நாரதர், ஆசீர்வதிக்கப்பட்ட பகவான் (பகவான்) மீதான பக்தியில் மிகுந்த பெருமை கொண்டிருந்தார்.
एकदा आत्मीयम् इमं भावं प्रकारान्तरेण सः भगवतः सम्मुखे प्रकटम् अपि कृतवान्।	ஒருமுறை, அவர் இந்த தனிப்பட்ட உணர்வை ஆசீர்வதிக்கப்பட்டவருக்கு வேறு வழியில் வெளிப்படுத்தினார்.
अन्तर्यामी भगवान् तस्य इमं गर्वं चूर्णयितुम् एव तम् अर्जुनं प्रति स्वसन्देशं दातुं मिषेण प्रोषितवान्।	எங்கும் நிறைந்த இறைவன், அவனது பெருமையை நசுக்க வேண்டும் என்ற நோக்கத்துடன், அர்ஜுனனை, அவனது சொந்த செய்தியை வழங்குவதற்காக அனுப்பினான்.
तदा अर्जुनः बाह्यजगतः सर्वथा सुदूरे स्थितः गहननिद्रायां निमग्नः आसीत्।	அப்போது அர்ஜுனன், வெளி உலகத்திலிருந்து முற்றிலும் விலகி ஆழ்ந்த உறக்கத்தில் ஆழ்ந்தான்.
तस्य प्रत्येकश्वासतः 'नारायण! नारायण!'	"அவனது ஒவ்வொரு மூச்சிலும், ""[அவர்] நாராயணா! நாராயணா!"""
अयं मधुरः ध्वनिः निरन्तरं निःसरन् आसीत्।	இந்த இனிய சப்தம் தொடர்ந்து ஒலித்துக் கொண்டே இருந்தது.
इदम् अद्भुतं दृश्यं दृष्ट्वा नारदस्य गर्वभङ्गः तु सञ्जातः एव।	இந்த அற்புதக் காட்சியைக் கண்ட நாரதரின் பெருமை உண்மையில் சிதைந்தது.
सः तस्य जागरणम् अनुचितं मत्वा विना सन्देषदानम् एव यथा गतः तथा परावर्तितः आसीत् इति।	அவரை எழுப்ப இது சரியான நேரம் அல்ல என்று எண்ணி, செய்தியைக் கூட சொல்லாமல், வந்தபடியே திரும்பினார்.
देवर्षिनारदस्य कीदृशः गर्वः आसीत्?	தெய்வீக முனிவர் நாரதருக்கு எப்படிப்பட்ட பெருமை இருந்தது?
भगवान् तं कुत्र कस्मै कार्याय प्रेषितवान्?	ஆசீர்வதிக்கப்பட்டவர் அவரை எங்கு அனுப்பினார், எந்த நோக்கத்திற்காக?
नारदः कं किं कुर्वन्तम् अपश्यत्?	நாரதர் எதைப் பார்த்தார், யாரை என்ன செய்வதைப் பார்த்தார்?
पुनः नारदः किम् अकरोत्?	நாரதர் அடுத்து என்ன செய்தார்?
भक्तोत्तमः कीदृशः भवति?	எந்த வகையான சிறந்த பக்தர் (பக்தோத்தமா) [அவர்]?
राष्ट्रभविष्यज्ञाता ईश्वरः एव	தேசத்தின் எதிர்காலத்தை அறிந்தவர் கடவுள் மட்டுமே.
रक्षका भक्षका यत्र, यत्र स्त्रीषु बलात्कृतिः। भविष्यं तस्य राष्ट्रस्य, वेत्ति केवलमीश्वरः॥	பாதுகாவலர்கள் வேட்டையாடுபவர்களாக இருக்கும் இடத்தில், பெண்களுக்கு எதிராக சக்தி பயன்படுத்தப்படும் இடத்தில், அந்த ராஜ்யத்தின் எதிர்காலம் கடவுளுக்கு மட்டுமே தெரியும்.
श्यामः मातापितृभ्यां सह ग्रामतः नगरम् आगत्य गृहनिर्माणे विगतदशवर्षेभ्यः श्रमिकः आसीत्।	அம்மா அப்பாவுடன் கிராமத்திலிருந்து நகரத்திற்கு வந்த சியாமா, கடந்த பத்து வருடங்களாக வீடு கட்டும் தொழிலாளியாக இருந்தார்.
मध्ये मध्ये सः यदा कदा ग्रामम् अपि प्रत्यागच्छति स्म।	அவ்வப்போது,   அவரும் ஊர் திரும்புவார்.
एकदा अकाले आपतिते आजीविकायाः अलाभेन मातापितरौ दिवं गतौ आस्ताम्।	ஒருமுறை, பஞ்சம் வந்து வாழ்வாதாரம் கிடைக்காமல் போனபோது,   அவனது பெற்றோர் இறந்துவிட்டனர்.
सर्वथा असहायः एकाकी श्यामः अपि जीवनतः निराशः सञ्जातः।	முற்றிலும் உதவியற்றவராகவும், தனியாகவும், கருமை நிறத்தவராகவும் இருந்தாலும், அவர் வாழ்க்கையில் நம்பிக்கையற்றவராக மாறினார்.
किन्तु तस्य मातापित्रोः परिचितेन तस्मै स्वकीयां कन्यां दत्त्वा कश्चन आशायाः सञ्चारः कृतः।	ஆனால் அவரது பெற்றோரின் உறவினர் ஒருவர் அவருக்கு தனது சொந்த மகளை திருமணம் செய்து கொடுத்ததில் சில நம்பிக்கைகள் விதைக்கப்பட்டன.
सः तया सह नगरम् आयातः।	அவளுடன் ஊருக்கு வந்தான்.
इतस्ततः भ्रमन् यत्र यत्र तेन कार्यं कृतम् आसीत्, ताः ताः उच्चाः उच्चाः अट्टालिकाः पत्नीं दर्शयन् कम् अपि गर्वं करोति स्म।	அங்கும் இங்கும் அலைந்து திரிந்து, தான் வேலை செய்த இடத்தில் அந்த உயரமான மாளிகைகளை மனைவியிடம் காட்டி, ஏதோ ஒரு பெருமையை உணர்ந்தான்.
अस्मिन् एव मध्ये तत्रत्याः प्रहरिणः तं चौरं मत्वा निगृह्य आरक्षिणां हस्ते समर्पितवन्तः।	அப்போது,   அங்கிருந்த காவலர்கள், திருடன் என நினைத்து, அவரை பிடித்து போலீசில் ஒப்படைத்தனர்.
श्यामः एतत् प्रतिकर्तुं बहु अचेष्टत।	சியாமா இதை எதிர்க்க மிகவும் முயன்றார்.
किन्तु तस्य किम् अपि न श्रुतम्।	ஆனால் அவரைப் பற்றி எதுவும் கேட்கவில்லை.
रात्रौ एकाकी सः अपराधिप्रकोष्ठे निपातितः।	இரவில், அவர் குற்றவாளிகளின் அறைக்குள் தனியாக வீசப்பட்டார்.
अन्येद्युः तेन श्रुतं यत् तस्य पत्नी कुत्रचित् पलायिता।	மறுநாள், தன் மனைவி எங்கோ ஓடிவிட்டதாகக் கேள்விப்பட்டான்.
सा पलायिता, अपहृता, बलात्कृता, मारिता वा? इदं तु परमेश्वरः एव जानाति इति।	அவள் கடத்தப்பட்டாளா, கடத்தப்பட்டாளா, மீறப்பட்டாளா அல்லது கொல்லப்பட்டாளா? பரமாத்மாவுக்கு மட்டுமே இது தெரியும்.
श्यामः कः आसीत्? किं करोति स्म?	ஷ்யாமா யார்? அவர் என்ன செய்தார்?
सः कया सह नगरम् आयातः?	யாருடன் ஊருக்கு வந்தான்?
आरक्षिणः श्यामेन सह कीदृशं व्यवहारं कृतवन्तः?	காவலர்கள் சியாமாவிடம் எப்படி நடந்துகொண்டார்கள்?
परमेश्वरः एव किं जानाति?	அதிபதிக்கு மட்டும் தெரியுமா?
इयं कथा कं सन्देशं ददाति?	இந்தக் கதை என்ன செய்தியைக் கொடுக்கிறது?
यथा प्रश्नस्तथोत्तरम्	கேள்வியாக, பதில்.
लेखकस्यात्र को दोषो, यथा प्रश्नस्तथोत्तरम्। उप्त्वा निम्बस्य बीजानि, नाम्रा लभ्याः कदाचन॥	இங்கே எழுத்தாளரின் தவறு என்ன? கேள்வியின் படி பதில். *நிம்பா* மரத்தின் (அசாடிராச்டா இண்டிகா) விதைகளை விதைத்த பிறகு, மாம்பழங்கள் எப்போது கிடைக்கும்?
एकदा एकस्य अभिनवशैल्याः सुप्रसिद्धचित्रकारस्य गृहे रात्रौ चौराः प्रविष्टाः।	ஒருமுறை, ஒரு புதிய பாணியில் மிகவும் பிரபலமான ஓவியரின் வீட்டிற்கு இரவில் திருடர்கள் நுழைந்தனர்.
चित्रकारः स्वपरिवारस्य सदस्यैः सह गृहोपरि प्रगाढनिद्रायां प्रसुप्तः आसीत्।	ஓவியர் தனது குடும்ப உறுப்பினர்களுடன் தனது வீட்டின் கூரையில் ஆழ்ந்த உறக்கத்தில் இருந்தார்.
चौराः स्वमनीषितम् असाधयन्।	திருடர்கள் தங்கள் ஆசைகளை நிறைவேற்றிக் கொண்டனர்.
प्रातः प्रबुद्धः चित्रकारः इदम् अजानात्, आरक्षिस्थाने च गत्वा चौर्यघटनाम् असूचयत्।	காலையில் கண்விழித்த பெயிண்டர் இதை உணர்ந்து காவல் நிலையத்துக்குச் சென்று திருட்டு குறித்து புகார் அளித்தார்.
तेन एव सह चौरहस्तपादचिह्नानि ग्रहीतुं ततः एकः आरक्षी आगतः।	அப்போது,   அவருடன் திருடர்களின் கை, கால் அடையாளங்களை கைப்பற்ற, தனி ஒரு போலீஸ்காரர் வந்தார்.
स्वकार्यं कृत्वा गच्छन् सः चित्रकारं कथितवान्।	சொந்த வேலைகளை முடித்து விட்டு, ஓவியரிடம் பேசினார்.
भवान् तु चित्रकारः। चौरस्य आकृतिं लिखित्वा तु ददातु येन चौरानुसन्धानं सुकरं भवेत्	நீங்கள் ஒரு ஓவியர். தயவு செய்து திருடனின் படத்தை வரையவும், இதனால் திருடனின் விசாரணை எளிதாகும்.
।	[திபெத்தியர் காணவில்லை. கீழே உள்ள குறிப்பைப் பார்க்கவும்.]
चित्रकारः तथा एव कृतवान्।	ஓவியர் அதைத்தான் செய்தார்.
चौराः चित्रकारगृहे स्वमनीषितं कदा असाधयन्?	ஓவியர் வீட்டில் திருடர்கள் எப்போது தங்கள் ஆசைகளை நிறைவேற்றினார்கள்?
चित्रकारः तदा किं कृतवान्?	அப்போது ஓவியர் என்ன செய்தார்?
आरक्षी चित्रकारं किं कथितवान्?	ஓவியரிடம் போலீஸ் அதிகாரி என்ன சொன்னார்?
चित्रकारः तदा किम् अकरोत्?	அப்போது ஓவியர் என்ன செய்தார்?
आरक्षिस्थानतः चित्रकाराय मिलिते पत्रे किं लिखितम् आसीत्?	காவல் நிலையத்தில் (ஆரக்ஷிஸ்தானா) ஓவியருக்கு வந்த கடிதத்தில் என்ன எழுதப்பட்டிருந்தது?
प्रेम शत्रुम् अपि सुधारयति	அன்பு எதிரிகளைக் கூட சீர்திருத்துகிறது.
शत्रुणाऽपि कृतं प्रेम, तमवश्यं सुधारयेत्। विश्वस्तेन दुराचारो, नैव कार्यः कदाचन॥	ஒரு பகைவன் காட்டும் அன்புக்குக் கூட ஒருவன் நிச்சயமாகப் பதிலடி கொடுக்க வேண்டும். நம்பகமான நபரிடம் முறையற்ற நடத்தையை ஒருபோதும் செய்யக்கூடாது.
आयुषः अन्तिमेषु वर्षेषु श्रेष्ठी रामदासः स्वपत्न्या सह बदरीनाथयात्रायै प्रस्थितः।	அவரது வாழ்க்கையின் இறுதி ஆண்டுகளில், வணிகரான ஸ்ரேஷ்டி ராமதாசர் தனது மனைவியுடன் பத்ரிநாதாவுக்கு யாத்திரைக்கு புறப்பட்டார்.
विश्वासपात्राणां केषाञ्चित् सेवकानां मण्डली अपि सह आसीत्।	சில நம்பகமான வேலைக்காரர்கள் குழுவும் [அவருடன்] இருந்தது.
तदा यातायातसाधनानाम् अभावेन पदयात्रा एव क्रियते स्म।	அப்போது,   போக்குவரத்து வசதி இல்லாததால், கால்நடையாக மட்டுமே பயணம் செய்தனர்.
मार्गे एकत्र रात्रौ विश्रामः कल्पितः।	வழியில், ஒரு இரவு ஓய்வு ஏற்பாடு செய்யப்பட்டது.
सर्वेषु सुप्तेषु एकः सेवकः यः केनचित् कारणेन रुष्टः आसीत्।	அனைவரும் உறங்கிக் கொண்டிருந்த போது,   ஒரு வேலைக்காரன், சில காரணங்களால் கோபமடைந்தான்.
सुप्तं श्रेष्ठिनं भारिप्रस्तरेण शिरसि आहत्य पलायितः।	தூங்கிக் கொண்டிருந்த வியாபாரியின் தலையில் கனமான கல்லால் தாக்கிவிட்டு தப்பியோடினார்.
श्रेष्ठिना सह सर्वे अपि प्रबुद्धाः।	வணிகருடன், அனைவரும் அறிவொளி பெற்றனர்.
तेषु केचित् श्रेष्ठिनम् उपचरितुं प्रवृत्ताः तर्हि केचन अन्ये स्वं सहचरं तत्र अनवाप्य तम् एव अपराधिनं मत्वा तस्य अन्वेषणाय निर्गताः।	அவர்களில், சிலர் வணிகரிடம் கலந்துகொள்ள புறப்பட்டனர்; அப்போது வேறு சிலர், அங்கே தங்கள் தோழரைக் காணவில்லை, அவரைக் குற்றவாளி என்று எண்ணி, அவரைத் தேடச் சென்றனர்.
कियद्दूरे पलायमानं तं निगृह्य ते स्वश्रेष्ठिसम्मुखे उपस्थापितवन्तः, तं दण्डयितुं च ततः आदेशं याचितवन्तः।	அவர் சிறிது தூரம் தப்பி ஓடியபோது அவரைப் பிடித்து, தங்கள் தலைசிறந்த வணிகரின் முன் அவரைக் கொண்டு வந்து, அவரைத் தண்டிக்க உத்தரவிடுமாறு கோரினர்.
"श्रेष्ठी तं सदयं वीक्षमाणः केवलम् इदम् एव अकथयत्- ""सर्वं मम दुष्कृतस्य एव इदं फलम्। इह अस्य कश्चन न दोषः। अयं तु भगवता निमित्तीकृतः। इदानीम् एषः निरन्तरं पलायमानः श्रान्तः अस्ति। शार्करं पाययित्वा अस्य मनःशान्तिः करणीया।"""	"வணிகன் அவனைப் பரிவுடன் பார்த்து, இதை மட்டும் சொன்னான்: ""இதெல்லாம் நான் செய்த தீய செயல்களின் பலன். இதில் அவருக்கு எந்தத் தவறும் இல்லை. ஆனால் அவர் பாக்கியத்தால் (பகவத்) ஒரு கருவியாக ஆக்கப்பட்டார். இப்போது அவர் தொடர்ந்து ஓடிப்போய் சோர்வாக இருக்கிறார், அவருக்கு சர்க்கரைத் தண்ணீரைக் கொடுத்ததால், அவரது மன அமைதி திரும்ப வேண்டும்."""
सेवकः तस्य अनेन व्यवहारेण लज्जितः स्वकृत्ये अतीव पश्चात्तपन् पुनः पुनः श्रेष्ठिनः चरणयोः निपत्य ततः स्वकृतापराधाय क्षमाम् अयाचत।	வேலைக்காரன், அவனுடைய நடத்தையால் வெட்கப்பட்டு, அவனுடைய செயல்களுக்கு மிகவும் வருந்தினான், மீண்டும் மீண்டும் வணிகரின் காலில் விழுந்து, தன் குற்றத்திற்காக மன்னிப்புக் கேட்டான்.
अग्रे सः एव तस्य घनिष्ठः सेवकः भूत्वा आजीवनं तस्य सेवां नैव पर्यत्यजत् इति।	அப்போதிருந்து, அவரது நெருங்கிய ஊழியரான அவர், அவர் தனது சேவையை வாழ்நாள் முழுவதும் கைவிடவில்லை.
सेवकः किं कृत्वा पलायितः ?	வேலைக்காரன் ஓடிப்போவதற்கு முன் என்ன செய்தான்?
अन्ये तत्सहचराः किं कृतवन्तः ?	மற்ற தோழர்கள் என்ன செய்தார்கள்?
श्रेष्ठी तान् किम् अकथयत् ?	வியாபாரி அவர்களிடம் என்ன சொன்னார்?
श्रेष्ठिनः कथनस्य पलायनकर्तरि सेवके कीदृशः प्रभावः अभवत् ?	தப்பி ஓடிய வேலைக்காரன் மீது வணிகரின் அறிக்கை என்ன தாக்கத்தை ஏற்படுத்தியது?
इयं कथा किं शिक्षयति ?	இந்தக் கதை என்ன கற்பிக்கிறது?
मधुरभाषणं कटुस्थितिलोपकम्	இனிமையான பேச்சு கசப்பான சூழ்நிலையை அழிக்கிறது.
उग्रतायामपि स्वीयो, नैव त्याज्यो हि संयमः। मधुरं भाषणं चापि, कटुस्थितिं विलोपयेत्॥	கடுமையிலும் கூட, தன் சுயக்கட்டுப்பாட்டைக் கைவிடக் கூடாது. இனிமையான பேச்சு, உண்மையில், கசப்பான சூழ்நிலையை அகற்றும்.
महाशय! भवदीयः आत्मजः क्रिकेटं क्रीडन् मम वातायनस्य बहुमूल्यं काचं त्रोटितवान् अस्ति। अस्य क्षतिपूर्तिः भवता करणीया	ஐயா! உங்கள் மகன், கிரிக்கெட் விளையாடிக் கொண்டிருக்கும் போது,   என் ஜன்னல் கண்ணாடியை உடைத்து விட்டான். இந்த சேதத்திற்கு நீங்கள் ஈடு கொடுக்க வேண்டும்.
प्रतिवेशी श्यामसुन्दरं कथितवान्।	பக்கத்து வீட்டுக்காரர் சியாமசுந்தராவிடம் சொன்னார்.
बालकः एव तु अस्ति सः। भवता अपि बाल्ये बहूनां हानिः कृता स्यात्। इह ध्यानं न देयं बहु। किं प्रतिवेशितः क्षतिमूल्यं याच्यते?	ஆனால் அவன் சிறுவன் மட்டுமே. உங்கள் குழந்தைப் பருவத்தில் நீங்கள் மிகவும் தீங்கு செய்திருக்கலாம். இங்கு அதிக கவனம் செலுத்த வேண்டியதில்லை. அண்டை வீட்டாரிடம் ஏன் இழப்பீடு கேட்கப்படுகிறது?
श्यामसुन्दरः प्रतिवेशिनं पृष्टवान्।	ஷியாமசுந்தரா பக்கத்து வீட்டுக்காரரிடம் கேட்டார்.
यदि सः बालकः एव अस्ति, तर्हि आत्मनः एव वातायनस्य काचं किं न त्रोटितवान्?	அவன் சிறுவனாக இருந்தால் ஏன் அவனே ஜன்னல் கண்ணாடியை உடைக்கவில்லை?
प्रतिवेशी जिज्ञासां कुतवान्।	பக்கத்து வீட்டுக்காரர் ஆர்வத்தில் கேட்டார்.
सः न अस्ति इयान् मूर्खः	அவர் அப்படிப்பட்ட முட்டாள் இல்லை.
श्यामसुन्दरः उत्तरं दत्तवान् इति।	அதற்கு ஷியாமசுந்தரர் பதில் அளித்தார், இவ்வாறு கூறப்பட்டுள்ளது.
प्रतिवेशी श्यामसुन्दरं किं कथितवान्?	பக்கத்து வீட்டுக்காரர் ஷியாமசுந்தரரிடம் என்ன சொன்னார்?
श्यामसुन्दरः प्रतिवेशिनं किम् उदतरत्?	பக்கத்து வீட்டுக்காரரிடம் சியாமசுந்தரா என்ன சொன்னார்?
प्रतिवेशी तदा श्यामसुन्दरं किम् अपृच्छत्?	அப்போது பக்கத்து வீட்டுக்காரர் சியாமசுந்தரரிடம் என்ன கேட்டார்?
श्यामसुन्दरस्य प्रतिवेशिने तदा किम् उत्तरम् आसीत्?	அப்போது சியாமசுந்தராவுக்கு பக்கத்து வீட்டுக்காரர் என்ன பதில் சொன்னார்?
कटुस्थितिं किं विलोपयति?	வலிமிகுந்த சூழ்நிலையை எது அழிக்கிறது?
कारुण्यमैत्र्योः प्रभावः	கருணை மற்றும் அன்பின் ஆற்றல்.
