refno,type,text
vetalkatha_vetalkatha_L1,title,1. अपूर्वः दर्पणः(01/96)
vetalkatha_vetalkatha_L2,prose,साहसकार्यकरणम् एव स्वस्य जीवनस्य लक्ष्यम् मन्यमानः त्रिविक्रमः पुनरपि वृक्षस्य समीपम् गतवान्।
vetalkatha_vetalkatha_L3,prose,शाखायाम् लम्बमानम् शवम् स्कन्धे आरोप्य मौनम् श्मशानाभिमुखम् प्रस्थितवान् च।
vetalkatha_vetalkatha_L4,prose,"तदा शवान्तर्गतः वेतालः अवदन् – ""अये राजन्! भवान् कस्य अपूर्ववस्तुनः निर्मितम्  मध्यरात्रसमये अस्मिन् श्मशाने महान्तम्  परिश्रमम्  वहन् अस्ति इति न ज्ञायते मया।"
vetalkatha_vetalkatha_L5,prose,"अपूर्वाणि वस्तूनि अपि कदाचित् शक्तिरहितानि भवन्ति इत्यस्य निदर्शनार्थम् कस्यचित् राजकुमारस्य कथाम् श्रावयामि, यः च अपूर्वम् दर्पणम् प्राप्य अपि तस्मात् प्रयोजनप्राप्तौ विफलः जातः।"
vetalkatha_vetalkatha_L6,prose,"श्रद्धया ताम् कथाम् शृणोतु तावत्, येन भवतः मार्गायासः परिहृतः स्यात्"" इति।"
vetalkatha_vetalkatha_L7,prose,अनन्तरम् वेतालेन कथा आरब्धा –
vetalkatha_vetalkatha_L8,prose,पूर्वम् गजेन्द्रनामकः कश्चित् मुनिवर्यः पर्वतप्रदेशे निवसति स्म।
vetalkatha_vetalkatha_L9,prose,सकलशास्त्रपारङ्गतस्य तस्य आश्रमे बहवः युवकाः शिष्यत्वेन स्थितवन्तः आसन्।
vetalkatha_vetalkatha_L10,prose,तस्य शिष्येषु सिंहपुरस्य राजकुमारः शिवदत्तः अपि अन्यतमः।
vetalkatha_vetalkatha_L11,prose,शिवदत्तः चतुर्भ्यः वर्षेभ्यः गजेन्द्रस्य आश्रमे वसन् सर्वाः विद्याः अभ्यस्तवान्।
vetalkatha_vetalkatha_L12,prose,विद्याभ्याससमाप्तेः अनन्तरम् शिष्याणाम् प्रतिगमनसमयः सन्निहितः।
vetalkatha_vetalkatha_L13,prose,तेषाम् गमनसमये गुरुः गजेन्द्रः स्वशिष्याणाम् योग्यतानुगुणम् किमपि वस्तु उपायनरूपेण ददाति स्म।
vetalkatha_vetalkatha_L14,prose,"शिवदत्तस्य प्रस्थानसमये गजेन्द्रः वात्सल्येन तस्य शिरः आमृशन् - ""वत्स! इदानीम्  भवतः विद्याभ्यासः पूर्णः जातः अस्ति।"
vetalkatha_vetalkatha_L15,prose,"सिंहपुरस्य युवराजाय भवते अहम् अपूर्वम् उपायनम् एकम् दास्यामि"" इति वदन् स्वस्य प्रसेवात् गोलाकारकम् दन्तनिर्मितम् दर्पणम् निष्कास्य शिवदत्ताय दत्त्वा उक्तवान् - ""एषः अपूर्वः दर्पणः।"
vetalkatha_vetalkatha_L16,prose,"यः एतस्य पुरतः तिष्ठति, तद्विषये विवरणम् वदति एषः।"
vetalkatha_vetalkatha_L17,prose,भवान् एतस्मात् दर्पणात् स्वकार्ये प्रयोजनम् प्राप्नोतु।
vetalkatha_vetalkatha_L18,prose,अपि च 'दक्षः राजा' इति कीर्तिम् सम्पादयतु।
vetalkatha_vetalkatha_L19,prose,"यदा एतस्य दर्पणस्य आवश्यकता न अस्ति इति भवान् चिन्तयिष्यति, तदा एतम् मह्यम् प्रत्यर्पयतु"" इति।"
vetalkatha_vetalkatha_L20,prose,राजकुमारः शिवदत्तः गुरुणा दत्तम् दर्पणम् स्वीकृत्य तस्मै कृतज्ञताः समर्प्य ततः सिंहपुरम् गतवान्।
vetalkatha_vetalkatha_L21,prose,कांश्चन मासान् यावत् सुखेन कालयापनम् कृतवान् च।
vetalkatha_vetalkatha_L22,prose,केषाञ्चित् मासानाम् अनन्तरम् सः पितुः इच्छानुसारम् सिंहासनम् आरूढवान्।
vetalkatha_vetalkatha_L23,prose,"कदाचित् सिंहलदेशतः वीरभूपतिनामकः मल्लयोधः, धीरसिंहनामकः खड्गविद्यानिपुणः, भूपालसिंहनामकः धनुः विद्यानिपुणः च सिंहपुरम् आगतवन्तः।"
vetalkatha_vetalkatha_L24,prose,"ते राज्ञः शिवदत्तस्य दर्शनम् प्राप्य प्रार्थितवन्तः - ""महाराज! अस्मासु त्रिषु कः शक्तिमान् इति वक्तुम् कोऽपि न शक्तः।"
vetalkatha_vetalkatha_L25,prose,'भवतः सकाशे अपूर्वः दर्पणः अस्ति।
vetalkatha_vetalkatha_L26,prose,तस्य दर्पणस्य साहाय्येन भवान् क्लिष्टाः अपि समस्याः परिहरिष्यति' इति ज्ञात्वा वयम् अत्र आगताः स्मः।
vetalkatha_vetalkatha_L27,prose,"अस्मासु कः बलवान् इति कृपया वदतु भवान्"" इति।"
vetalkatha_vetalkatha_L28,prose,युद्धविद्याः आयोज्य तेषाम् त्रयाणाम् अपि अपूर्वम् नैपुण्यम् प्रत्य़क्षम् दृष्टवान् शिवदत्तः।
vetalkatha_vetalkatha_L29,prose,"अनन्तरम् सः तान् त्रीन् अपि दर्पणस्य पुरतः स्थापयित्वा दर्पणम् उद्दिश्य उक्तवान् - ""एतेषु त्रिषु शूरतमः कः इति वदतु भवान्"" इति।"
vetalkatha_vetalkatha_L30,prose,किन्तु दर्पणतः किमपि उत्तरम् न आगतम्।
vetalkatha_vetalkatha_L31,prose,एतस्मात् शिवदत्तः नितराम् चकितः अभवत्।
vetalkatha_vetalkatha_L32,prose,'अपूर्वः दर्पणः अपि अस्माकम् समस्याम् परिहर्तुम् अशक्तः' इति चिन्तया एव ते त्रयः अपि ततः निर्गताः।
vetalkatha_vetalkatha_L33,prose,कानिचन दिनानि अतीतानि।
vetalkatha_vetalkatha_L34,prose,कोसलदेशतः सोमसुन्दरः विजयदेवः च शिवदत्तस्य समीपम् आगतवन्तौ।
vetalkatha_vetalkatha_L35,prose,तौ उभौ अपि मल्लयुद्धनिपुणौ आस्ताम्।
vetalkatha_vetalkatha_L36,prose,तयोः कः निपुणतरः इति समस्या।
vetalkatha_vetalkatha_L37,prose,यतः मल्लयुद्धस्पर्धायाम् ताभ्याम् बहुवारम् भागः ऊढः आसीत्।
vetalkatha_vetalkatha_L38,prose,सर्वदा उभौ अपि समानशक्तिमन्तौ इत्येव निर्णयः जातः आसीत्।
vetalkatha_vetalkatha_L39,prose,"शिवदत्तः अपूर्वम् दर्पणम् उद्दिश्य पृष्टवान् - ""हे दर्पण! सोमसुन्दरविजयदेवयोः शूरतरः कः?"" इति।"
vetalkatha_vetalkatha_L40,prose,"अपरक्षणे एव दर्पणः उत्तरम् उक्तवान् - ""विजयदेवः"" इति।"
vetalkatha_vetalkatha_L41,prose,"अपूर्वस्य दर्पणस्य सामर्थ्यम् किञ्चित् अपि न्यूनम् न जातम् इति सन्तुष्टः शिवदत्तः पुनरपि दर्पणम् पृष्टवान् - ""विजयदेवः कथम् सोमसुन्दरात् शक्तिमान्?"" इति।"
vetalkatha_vetalkatha_L42,prose,"तदा दर्पणेन उक्तम् - ""केनचित् मान्त्रिकेण दत्तम् तायकम् स्वभुजे बद्धवान् अस्ति सोमसुन्दरः।"
