हत्या ईश्वराय न रोचते	கொல்வது ஈஸ்வரனுக்குப் பிடிக்காது.
सर्वेऽपि प्राणिनः सन्ति, परेशस्य प्रियाः सुताः । मिथस्तैर्विहितां हत्यां, कदापि क्षमते न सः ॥	எல்லா உயிரினங்களும் (பிராணினஹ்) பரம இறைவனின் (பரேஷா) பிரியமான குழந்தைகள். அவர்கள் ஒருவரையொருவர் செய்த கொலைகளை அவர் மன்னிப்பதில்லை.
चारयितृद्वारा चारणाय आनीताः अजाः अवयः च ग्रामात् बहिर्वनप्रदेशे एकस्य वृक्षस्य अधस्तात् उपविष्टाः आसन्।	மேய்ப்பவர் மேய்ப்பதற்காக கொண்டு வந்த ஆடுகளும் செம்மறி ஆடுகளும் கிராமத்திற்கு வெளியே ஒரு மரத்தடியில் அமர்ந்தன.
अद्य तासाम् इतस्ततः भ्रमित्वा चरणपानयोः उत्साहः न आसीत्।	இன்று அங்கும் இங்கும் அலைந்து திரிவதற்கும் *காரணம்* குடிப்பதற்கும் அவர்களுக்கு எந்த உற்சாகமும் இல்லை.
तासु एका अभाषत-	அவர்களில் ஒருவர் பேசினார்:
मातरः भगिन्यः च! प्रतिवर्षवत् अस्मिन् वर्षे अपि गतदिने एव धर्मविशेषस्य अनुयायिभिः विशिष्टजातीयैः जनैः समस्ते अपि संसारे अस्माकं पुरुषसन्तानाः व्यापादिताः खादिताः च। राष्ट्राध्यक्षाः शासकाः नेतारः अपि अस्मिन् अवसरे यत्र तेषां वधिकानां कुशलम् इच्छन्तः स्वकीयं सन्देशं प्रसारयन्ति, तत्र तेषु इमां सामूहिकीं हत्यां कश्चित् अपि न निन्दति।	தாய்மார்களே சகோதரிகளே! ஒவ்வொரு ஆண்டும் போலவே, இந்த ஆண்டும், கடந்த நாளிலேயே, உலகம் முழுவதிலும் உள்ள குறிப்பிட்ட சாதியினரால், குறிப்பிட்ட மதத்தைப் பின்பற்றுபவர்களால், நம் ஆண் சந்ததியினர் கொல்லப்பட்டு உண்ணப்பட்டனர்.  ஜனாதிபதிகள், ஆட்சியாளர்கள் மற்றும் தலைவர்கள் கூட, இந்த சந்தர்ப்பத்தில், அந்த கொலையாளிகளுக்கு நல்வாழ்த்துக்கள் தெரிவிக்கும் போது,   தங்கள் சொந்த செய்தியை பரப்புகிறார்கள், ஆனால் அவர்களில் யாரும் இந்த கூட்டு கொலையை கண்டிக்கவில்லை.
अस्य भाषणस्य समर्थनं कुर्वती अन्या अजा कथितवती-	இந்த உரையை ஆதரித்து மற்றொரு ஆடு கூறியது:
सत्यम् एव अस्माकं मूकप्राणिनां कोऽपि सहायकः न अस्ति। आस्वादलम्पटाः इमे वधिकाः प्रतिदिनम् एव अस्माकं सन्ततीः मारयन्ति।	உண்மையாகவே, குரலற்ற உயிரினங்களான நமக்கு உதவி செய்பவர் இல்லை. ருசிக்கு பேராசை கொண்ட இந்த கசாப்புக் கடைக்காரர்கள் நம் சந்ததிகளை தினமும் கொன்று விடுகிறார்கள்.
तृतीया अजा अभाषत-	மூன்றாவது பிறக்காதவர் பேசினார்:
अस्माकं सन्तानानां बलिदानं कृत्वा स्वयं बलिदानतायाः नाम प्रसारयन्ति। कथं न इमे आत्मीयान् पुत्रपौत्रादीन् परमेश्वराय बलिदानार्थं मारयन्ति? किं परमेश्वरः अस्माकं सन्तानानां बलिं गृहीत्वा प्रसन्नः भवति?	நம் சந்ததியினரைப் பலிகொடுத்து சுய தியாகத்தின் பெயரைப் பரப்புகிறார்கள்.  கடவுளுக்குப் பலியிடுவதற்காக அவர்கள் ஏன் தங்கள் சொந்த மகன்களையும், பேரன்களையும், மற்றவர்களையும் கொல்லுகிறார்கள்? நம் சந்ததியினரின் தியாகத்தை ஏற்று கடவுள் மகிழ்ச்சி அடைகிறாரா?
चतुर्थी अजा अकथयत्-	நான்காவது ஆடு சொன்னது:
