एतद् आकर्ण्य माता प्रसन्ना अभवत् यत् प्राणिनां मृत्यौ तस्य पुत्रः हेतुः न अस्ति, अपि तु अन्यानि एव आघातरोगविषसेवनादीनि एव निमित्तानि सन्ति इति।	இதைக் கேட்ட தாய், உயிர்கள் இறப்பதற்குத் தன் மகன் காரணமல்ல ( *ஹேதுஹ்*) மாறாக அடி, நோய்கள், விஷம் அருந்துதல் போன்ற பிற விஷயங்களே காரணம் ( *நிமித்தானி*).
महाकालं तस्य जननी किं कथितवती?	மகாகலாவிடம் அவன் தாய் என்ன சொன்னாள்?
स्वजननीं महाकालः तदा किम् उदतरत्?	மகாகாள் தன் தாயிடம் என்ன சொன்னாள்?
जननी महाकालेन सह कुत्र कुत्र अभ्रमत्?	மகாகாலத்துடன் (மஹாகாலம்) அன்னை எங்கு அலைந்தாள்?
जननी कं कं किं पृष्टवती?	அம்மா என்ன கேட்டாள்?
जननी प्रसन्ना कदा अभवत्?	தாய் எப்போது மகிழ்ச்சி அடைந்தாள்?
साधुसङ्गः वृत्तिलाभः	நல்லொழுக்கமுள்ளவர்களுடன் இணைவது வாழ்வாதாரத்தைப் பெறுவதாகும்.
वृत्तिश्चेद् मिलते नैव, जनश्चौर्ये प्रवर्तते । साधुसङ्गो वृत्तिलाभश्चौर्यकर्मनिवारकः ॥	வாழ்வாதாரம் கிடைக்கவில்லை என்றால், மக்கள் திருட்டுத்தனத்தை நாடுகிறார்கள். நல்லொழுக்கமுள்ளவர்களுடன் பழகுவதும் வாழ்வாதாரம் பெறுவதும் திருட்டுச் செயலைத் தடுக்கின்றன.
राज्ञः भोजस्य राज्ये दुर्मुखः नामकः एकः चौरः निवसति स्म।	போஜ மன்னனின் ராஜ்ஜியத்தில் துர்முகன் என்ற திருடன் வாழ்ந்து வந்தான்.
किन्तु अधिकतरं सः चौर्यं कर्तुं न पारितवान्।	ஆனால் பெரும்பாலும், அவரால் திருட முடியவில்லை.
अनेन दुःखी सः प्रतिवेशिराज्ये प्रवेष्टुं रात्रौ प्रचलितः।	இதனால் பாதிக்கப்பட்ட அவர், அண்டை நாட்டுக்குள் நுழைய இரவில் புறப்பட்டார்.
मध्ये एकं साध्वाश्रमं प्राप्य तत्र एव स्थितः।	நடுவில் ஒரு நல்ல சந்நியாசம் அடைந்து அங்கேயே தங்கினார்.
साधुः तस्य भव्यम् आतिथ्यं कृतवान्।	பக்திமான் அவருக்கு சிறப்பான விருந்தோம்பலை வழங்கினார்.
अनेन प्रसन्नः सः चौरः प्रातः तं प्रणम्य तां विद्यां शिक्षयितुं प्रार्थयत, यथा सः भव्यां भोगसामग्रीं निष्पादितवान्।	இதனால் மகிழ்ந்த அந்த திருடன், காலையில் அவரை வணங்கி, மகிழ்வதற்கான சிறந்த வளங்களைப் பெற்ற *வித்யா* (அறிவு/மந்திரம்) தனக்குக் கற்றுக்கொடுக்கும்படி வேண்டினான்.
