slno,refno,text,en_dmt,ta_gmt
1,vetalkatha_vetalkatha_L1,1. अपूर्वः दर्पणः(01/96),1.  Unprecedented mirror.  ,
2,vetalkatha_vetalkatha_L2,साहसकार्यकरणम् एव स्वस्य जीवनस्य लक्ष्यम् मन्यमानः त्रिविक्रमः पुनरपि वृक्षस्य समीपम् गतवान्।,"Trivikrama, considering the performance of courageous deeds alone as the goal of his life, went again to the vicinity of the tree.  ",
3,vetalkatha_vetalkatha_L3,शाखायाम् लम्बमानम् शवम् स्कन्धे आरोप्य मौनम् श्मशानाभिमुखम् प्रस्थितवान् च।,"And, having placed the corpse hanging on the branch on his shoulder, he silently set out towards the charnel ground.  ",
4,vetalkatha_vetalkatha_L4,"तदा शवान्तर्गतः वेतालः अवदन् – ""अये राजन्! भवान् कस्य अपूर्ववस्तुनः निर्मितम्  मध्यरात्रसमये अस्मिन् श्मशाने महान्तम्  परिश्रमम्  वहन् अस्ति इति न ज्ञायते मया।","Then the *vetāla* inside the corpse said: ""Hey King! It is not known to me of what unprecedented thing you are made, that you are bearing such great exertion in this charnel ground at midnight.  ",
5,vetalkatha_vetalkatha_L5,"अपूर्वाणि वस्तूनि अपि कदाचित् शक्तिरहितानि भवन्ति इत्यस्य निदर्शनार्थम् कस्यचित् राजकुमारस्य कथाम् श्रावयामि, यः च अपूर्वम् दर्पणम् प्राप्य अपि तस्मात् प्रयोजनप्राप्तौ विफलः जातः।","To illustrate that novel things are sometimes devoid of power, I will narrate the story of a certain prince who, even after obtaining a novel mirror, failed to achieve his purpose from it.  ",
6,vetalkatha_vetalkatha_L6,"श्रद्धया ताम् कथाम् शृणोतु तावत्, येन भवतः मार्गायासः परिहृतः स्यात्"" इति।","""Let him listen to that story with faith, so that your weariness from the journey may be relieved,"" he said.  ",
7,vetalkatha_vetalkatha_L7,अनन्तरम् वेतालेन कथा आरब्धा –,"After that, the story was begun by the *vetāla*.  ",
8,vetalkatha_vetalkatha_L8,पूर्वम् गजेन्द्रनामकः कश्चित् मुनिवर्यः पर्वतप्रदेशे निवसति स्म।,"In the past, a certain eminent sage named Gajendra lived in a mountainous region.  ",
9,vetalkatha_vetalkatha_L9,सकलशास्त्रपारङ्गतस्य तस्य आश्रमे बहवः युवकाः शिष्यत्वेन स्थितवन्तः आसन्।,"In the hermitage of that one who had mastered all the treatises, many young men stayed as disciples.  ",
10,vetalkatha_vetalkatha_L10,तस्य शिष्येषु सिंहपुरस्य राजकुमारः शिवदत्तः अपि अन्यतमः।,"Among his disciples was Śivadatta, the prince of Siṃhapura.  ",
11,vetalkatha_vetalkatha_L11,शिवदत्तः चतुर्भ्यः वर्षेभ्यः गजेन्द्रस्य आश्रमे वसन् सर्वाः विद्याः अभ्यस्तवान्।,Śivadatta lived in Gajendra's hermitage for four years and mastered all the sciences.  ,
12,vetalkatha_vetalkatha_L12,विद्याभ्याससमाप्तेः अनन्तरम् शिष्याणाम् प्रतिगमनसमयः सन्निहितः।,"After the completion of the practice of the *vidyā*, the time for the disciples to return is near.  ",
13,vetalkatha_vetalkatha_L13,तेषाम् गमनसमये गुरुः गजेन्द्रः स्वशिष्याणाम् योग्यतानुगुणम् किमपि वस्तु उपायनरूपेण ददाति स्म।,"At the time of their departure, the teacher, the lordly elephant (gajendraḥ), gave some object as a gift (upāyanarūpeṇa) to his own disciples according to their respective abilities (yogyatānuguṇam).  ",
14,vetalkatha_vetalkatha_L14,"शिवदत्तस्य प्रस्थानसमये गजेन्द्रः वात्सल्येन तस्य शिरः आमृशन् - ""वत्स! इदानीम्  भवतः विद्याभ्यासः पूर्णः जातः अस्ति।","At the time of Śivadatta's departure, the elephant king, out of affection, stroked his head, [saying]: ""Dear one! Now your study of the knowledge is complete.""  ",
15,vetalkatha_vetalkatha_L15,"सिंहपुरस्य युवराजाय भवते अहम् अपूर्वम् उपायनम् एकम् दास्यामि"" इति वदन् स्वस्य प्रसेवात् गोलाकारकम् दन्तनिर्मितम् दर्पणम् निष्कास्य शिवदत्ताय दत्त्वा उक्तवान् - ""एषः अपूर्वः दर्पणः।","Saying, ""I will give an unprecedented gift to you, the crown prince of Siṃhapura,"" he took out a spherical mirror made of ivory from his bag and gave it to Śivadatta, and said: ""This is an unprecedented mirror.""  ",
16,vetalkatha_vetalkatha_L16,"यः एतस्य पुरतः तिष्ठति, तद्विषये विवरणम् वदति एषः।",He who stands before this speaks about its details.  ,
17,vetalkatha_vetalkatha_L17,भवान् एतस्मात् दर्पणात् स्वकार्ये प्रयोजनम् प्राप्नोतु।,May you obtain your purpose in your own task from this mirror.  ,
18,vetalkatha_vetalkatha_L18,अपि च 'दक्षः राजा' इति कीर्तिम् सम्पादयतु।,"And also, may he acquire the fame of being a 'skilled king' (dakṣaḥ rājā) (dakṣaḥ rājā iti kīrtim sampādayatu).  ",
