slno,refno,text,en_dmt,ta_gmt
1,astang_hriday_1_27-1,प्रथमोऽध्यायः,"""First Chapter.  """,
2,astang_hriday_1_27-5,रागादिरोगान् सततानुषक्तान् अशेषकायप्रसृतानशेषान्। औत्सुक्यमोहाऽरतिदाञ्जघान योऽपूर्ववैद्याय नमोऽस्तु तस्मै॥,"""Homage to that unparalleled physician who has slain all the diseases of passion (rāga), etc., which are constantly clinging, spread throughout the entire body, and give rise to eagerness, delusion (moha), and discontent (arati).  """,
3,astang_hriday_1_27-11,आयुः कामयमानेन धर्मार्थसुखसाधनम्। आयुर्वेदोपदेशेषु विधेयः परमादरः॥,"""[For] him who wishes a long life leading to virtue (dharma), wealth (artha), and happiness (sukha), the utmost attention should be paid to the precepts of medical science (Āyurveda). (आयुः कामयमानेन धर्मार्थसुखसाधनम् । आयुर्वेदोपदेशेषु विधेयः परमादरः ॥)  """,
4,astang_hriday_1_27-15,ब्रह्मास्मृत्वाऽऽयुषो वेदं प्रजापतिमजिग्रहत्। सोऽश्विनौ तौ सहस्राक्षं सोऽत्रिपुत्रादिकान्मुनीन्॥ तेऽग्निवेषादिकांस्ते तु पृथक् तन्त्राणि तेनिरे। तेभ्योऽतिविप्रकीर्णेभ्यः प्रायः सारतरोच्चयः॥,"""Brahmā, remembering the Veda of longevity, imparted it to Prajāpati. He [imparted it] to the Aśvins, they to Sahasrākṣa (Indra), he to the sages beginning with the sons of Atri. They [taught it] to Agniveśa, etc. They, however, composed their works separately. Because these [were] too widely scattered, there is made from them a collection for the most part of very essential matter.  """,
5,astang_hriday_1_27-21,क्रियतेऽष्टाङ्गहृदयं नातिसंक्षेपविस्तरम्। कायबालग्रहोर्ध्वाङ्गशल्यदंष्ट्राजरावृषान्॥,"""The Aṣṭāṅgahṛdaya is composed, [which is] without too much brevity or prolixity, [and which treats] kāya, bāla, graha, ūrdhvāṅga, śalya, daṃṣṭrā, jarā, and vṛṣa.  """,
6,astang_hriday_1_27-25,अष्टावङ्गानि तस्याहुश्चिकित्सा येषु संश्रिता। वायुः पित्तं कफश्चेति त्रयो दोषाः समासतः॥,"""They say that it has eight branches in which healing is based. *Vāta*, *pitta*, and *kapha*—these are, in brief, the three *doṣas*.  """,
7,astang_hriday_1_27-29,विकृताविकृता देहं घ्नन्ति ते वर्तयन्ति च। ते व्यापिनाऽपि ह्रृन्नाभ्योरधोमध्योर्ध्वसंश्रयाः॥,"""Depending on whether they are changed or unchanged [in their state], they respectively destroy and sustain the body. Though spreading everywhere, they are seated respectively below, between, and above [the region between the] breast and navel. (विकृताविकृता देहं घ्नन्ति ते वर्तयन्ति च । ते व्यापिनो ऽपि हृन्नाभ्योर् अधोमध्योर्ध्वसंश्रयाः ॥)  """,
8,astang_hriday_1_27-33,वयोहोरात्रिभुक्तानां तेऽन्तमध्यादिगाः क्रमात्। तैर्भवेद्विषमस्तीक्ष्णो मन्दश्चाग्निः समैः समः॥,"""Of those, youth, the hours of the night, and [the time] after meals are, respectively, the end, middle, and beginning. From them, the *agni* is *viṣama*, *tīkṣṇa*, and *manda*; with the balanced ones, it is balanced (*sama*).  """,
9,astang_hriday_1_27-37,कोष्ठः क्रूरो मृदुर्मध्यो मध्यः स्यात्तैः समैरपि। शुक्रार्तवस्थैर्जन्मादौ विषेणेव विषक्रिमे॥,"""The belly may be hard, soft, or normal respectively; [that is,] normal only when they are balanced. Just as a poison worm [is produced] from semen and the menstrual fluid when they are in the womb, or from poison.  """,
10,astang_hriday_1_27-41,"तैश्च तिस्रः प्रकृतयो हीनमध्योत्तमाः पृथक्। समधातुः समस्तासु श्रेष्ठा, निन्द्या द्विदोषजाः॥","""Those [doṣas] have three *prakṛtis*: deficient (*hīna*), moderate (*madhya*), and increased (*uttama*), respectively. That [constitution] in which the elements are balanced (*samadhātuḥ*) is the best of all; [those] originating [in only] two *doṣas* (*dvedoṣajāḥ*) are to be regarded as inferior (*nindyā*).  """,
11,astang_hriday_1_27-45,तत्र रूक्षो लघुः खरः सूक्ष्मश्चलोऽनिलः। पित्तं सस्नेहतीक्ष्णोष्णे लघु विस्रं सरं द्रवम्॥,"""Among the humors, wind is rough, light, pungent, subtle, and volatile; choler [is] slightly unctuous, violent, hot, light, musty, liquid, and flowing.  """,
12,astang_hriday_1_27-49,स्निग्धाः शीतो गुरुर्मन्दः श्लक्ष्णोमृत्स्नः स्थिरः कफः। संसर्गः सन्निपातश्च तद्द्वि-त्रि-त्रिक्षयकोपतः॥,"""Phlegm [is] unctuous, cold, heavy, sluggish, smooth, slimy, [and] stable. Association and combination [of the doṣas occur] due to the aggravation of two, three, or all three [doṣas].  """,
13,astang_hriday_1_27-53,रसाऽसृङ्भांसमेदोऽस्थिमज्जशुक्राणि धातवः। 'सप्तदूष्याः' मला-मूत्रशकृत्स्वेदादयोऽपि च॥,"""The *dhātus* are *rasa*, *asṛṅ* (blood), *māṃsa* (muscle), *medas* (fat), *asthi* (bone), *majjā* (marrow), and *śukra* (semen). [These] seven [tissues are] prone to vitiation. Waste products such as urine, feces, sweat, etc. [are also prone to vitiation].  """,
14,astang_hriday_1_27-57,वृद्धिः समानैः सर्वेषां विपरीतैर्विपर्ययः। रसाः स्वाद्वम्ललवणतिक्तोषणकषायकाः॥,"""There is increase of all [humors, tissues, and waste products] by homogeneous [substances]; by opposite [substances, there is] the opposite [effect, i.e., decrease]. The tastes are sweet ( *svādu*), sour (*amla*), salty (*lavaṇa*), bitter (*tikta*), pungent (*uṣaṇa*), and astringent (*kaṣāyaka*).  """,
15,astang_hriday_1_27-61,"षड्, द्रव्यमाश्रितास्ते च यथापूर्वं बलावहाः। तत्राऽऽद्या मारुतं घ्नन्ति त्रयस्तिक्तादयः कफम् ।।","""They, relying on the six substances, are powerful as before. Therein, the first three [tastes, i.e. sweet, sour, and salty,] destroy wind [vāta]. The three beginning with bitter [i.e. bitter, astringent, and pungent] [destroy] phlegm [kapha].  """,
16,astang_hriday_1_27-65,कषायतिक्तमधुराः पित्तमन्ये तु कुर्वते। शमनं कोपनं स्वस्थहितं द्रव्यमिति त्रिधा॥,"""Astringent, bitter, and sweet substances increase *pitta*, while others do not. A substance is threefold [in its effect]: pacifying (*śamana*), aggravating (*kopana*), [and] beneficial for normal [health] (*svasthahita*).  """,
17,astang_hriday_1_27-69,उष्णशीतगुणोत्कर्षात्तत्र वीर्यं द्विधा स्मृतम्। त्रिधा विपाको द्रव्यस्य स्वाद्वम्लकटुकात्मकः॥,"""According to the prevalence of the hot or cold qualities, the potency [of a substance] is considered twofold [heating or cooling]. The effect of a substance is threefold: sweet, sour, or pungent in nature.  """,
