slno,refno,text,en_dmt,ta_gmt
1,130-stories_110-130fp_16,हत्या ईश्वराय न रोचते,"""Killing is not pleasing to Īśvara.  """,
2,130-stories_110-130fp_17,"सर्वेऽपि प्राणिनः सन्ति, परेशस्य प्रियाः सुताः । मिथस्तैर्विहितां हत्यां, कदापि क्षमते न सः ॥","""All beings (prāṇinaḥ) are the beloved children of the Supreme Lord (Pareśa). He never forgives the killing inflicted by them on one another.  """,
3,130-stories_110-130fp_18,चारयितृद्वारा चारणाय आनीताः अजाः अवयः च ग्रामात् बहिर्वनप्रदेशे एकस्य वृक्षस्य अधस्तात् उपविष्टाः आसन्।,"""The goats and sheep, brought by the herdsman to be herded, sat outside the village in a forest region under a tree.  """,
4,130-stories_110-130fp_18,अद्य तासाम् इतस्ततः भ्रमित्वा चरणपानयोः उत्साहः न आसीत्।,"""Today, they had no enthusiasm for wandering here and there and for drinking *caraṇa*.  """,
5,130-stories_110-130fp_18,तासु एका अभाषत-,"""One of them spoke:  """,
6,130-stories_110-130fp_19,"""मातरः भगिन्यः च! प्रतिवर्षवत् अस्मिन् वर्षे अपि गतदिने एव धर्मविशेषस्य अनुयायिभिः विशिष्टजातीयैः जनैः समस्ते अपि संसारे अस्माकं पुरुषसन्तानाः व्यापादिताः खादिताः च। राष्ट्राध्यक्षाः शासकाः नेतारः अपि अस्मिन् अवसरे यत्र तेषां वधिकानां कुशलम् इच्छन्तः स्वकीयं सन्देशं प्रसारयन्ति, तत्र तेषु इमां सामूहिकीं हत्यां कश्चित् अपि न निन्दति।""","""Mothers and sisters! As in every year, in this year also, on the past day itself, our male progeny were killed and eaten by people of specific castes, followers of a particular religion, in the entire world.  Even the presidents, rulers, and leaders, on this occasion, while wishing well to those murderers of theirs, spread their own message, but no one among them condemns this collective killing.  """,
7,130-stories_110-130fp_20,अस्य भाषणस्य समर्थनं कुर्वती अन्या अजा कथितवती-,"""Another goat, supporting this speech, said:  """,
8,130-stories_110-130fp_21,"""सत्यम् एव अस्माकं मूकप्राणिनां कोऽपि सहायकः न अस्ति। आस्वादलम्पटाः इमे वधिकाः प्रतिदिनम् एव अस्माकं सन्ततीः मारयन्ति।""","""Truly, there is no helper for us voiceless creatures. These butchers, greedy for taste, kill our offspring every day.  """,
9,130-stories_110-130fp_22,तृतीया अजा अभाषत-,"""The third unborn one spoke:  """,
10,130-stories_110-130fp_23,"""अस्माकं सन्तानानां बलिदानं कृत्वा स्वयं बलिदानतायाः नाम प्रसारयन्ति। कथं न इमे आत्मीयान् पुत्रपौत्रादीन् परमेश्वराय बलिदानार्थं मारयन्ति? किं परमेश्वरः अस्माकं सन्तानानां बलिं गृहीत्वा प्रसन्नः भवति?""","""They spread the name of self-sacrifice by sacrificing our descendants.  Why do they kill their own sons, grandsons, and others for sacrifice to God? Does God become pleased by taking the sacrifice of our descendants?  """,
11,130-stories_110-130fp_24,चतुर्थी अजा अकथयत्-,"""The fourth goat said:  """,
12,130-stories_110-130fp_25,"""स्वसमक्षे एव स्वसन्तानानां वधं द्रष्टुम् अपेक्षया तु अस्माभिः पूर्वम् एव मरणीयम् आसीत्।""","""\""Rather than seeing the killing of our own descendants right before our eyes, we should have died earlier.\""  """,
13,130-stories_110-130fp_26,पञ्चमी अजा अभाषत-,"""The fifth goat spoke.  """,
